City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Discription
79,Tasiilaq,65.6145,-37.6368,24.96,92,91,3.65,GL,overcast clouds
80,Georgetown,5.4112,100.3354,84.13,82,20,6.91,MY,thunderstorm
81,Ribeira Grande,38.5167,-28.7,56.62,67,29,35.5,PT,scattered clouds
82,Carnarvon,-24.8667,113.6333,73.47,46,27,17.27,AU,scattered clouds
83,Bacolod,10.6667,122.95,75.47,89,100,3.89,PH,heavy intensity rain
84,Constitucion,-35.3333,-72.4167,53.01,93,4,4.56,CL,clear sky
85,Pell City,33.5862,-86.2861,51.49,56,40,0.0,US,scattered clouds
86,Port Augusta,-32.5,137.7667,83.32,26,0,10.58,AU,clear sky
87,Husavik,66.0449,-17.3389,21.15,85,91,8.68,IS,overcast clouds
88,Mata,40.683,-7.4592,48.97,98,82,2.04,PT,broken clouds
89,Hermanus,-34.4187,19.2345,61.81,87,0,14.14,ZA,clear sky
90,Veraval,20.9,70.3667,78.76,75,0,5.48,IN,clear sky
91,Dingle,10.9995,122.6711,74.86,95,100,2.62,PH,moderate rain
92,Thunder Bay,48.4001,-89.3168,35.58,78,20,5.75,CA,few clouds
93,Bolobo,-2.1667,16.2333,72.66,89,100,2.59,CD,light rain
94,Hornepayne,49.2138,-84.7705,29.91,92,100,7.83,CA,overcast clouds
95,Bilibino,68.0546,166.4372,-4.05,75,97,2.21,RU,overcast clouds
96,Kamaishi,39.2667,141.8833,60.08,53,3,1.03,JP,clear sky
97,Yar-Sale,66.8333,70.8333,11.34,94,100,8.63,RU,overcast clouds
98,Takapau,-40.0333,176.35,67.73,42,1,2.28,NZ,clear sky
99,Riyadh,24.6877,46.7219,75.34,15,100,9.01,SA,overcast clouds
100,San Felipe,10.3399,-68.7425,71.04,93,80,4.12,VE,broken clouds
101,Vila Franca Do Campo,37.7167,-25.4333,57.61,74,63,22.62,PT,broken clouds
102,Umm Lajj,25.0213,37.2685,74.89,66,6,4.16,SA,clear sky
103,Wah,33.798,72.6957,74.01,33,0,5.35,PK,clear sky
104,Boa Esperanca,-21.09,-45.5658,69.3,89,99,2.8,BR,overcast clouds
105,Knysna,-34.0363,23.0471,58.91,80,7,6.38,ZA,clear sky
106,Aguimes,27.9054,-15.4461,59.63,67,20,13.8,ES,few clouds
107,Port Lincoln,-34.7333,135.8667,70.9,64,100,8.43,AU,overcast clouds
108,Constantine,36.365,6.6147,49.41,81,0,5.75,DZ,clear sky
109,Touros,-5.1989,-35.4608,79.93,84,100,11.3,BR,overcast clouds
110,Coari,-4.085,-63.1414,74.39,98,100,2.44,BR,overcast clouds
111,Sinnamary,5.3833,-52.95,77.68,88,100,12.21,GF,overcast clouds
112,Vardo,70.3705,31.1107,35.35,80,19,19.89,NO,few clouds
113,Maceio,-9.6658,-35.7353,76.44,88,20,2.3,BR,few clouds
114,Jamestown,42.097,-79.2353,35.24,46,100,11.5,US,overcast clouds
115,Severo-Kurilsk,50.6789,156.125,31.23,75,100,7.49,RU,overcast clouds
116,Ust-Nera,64.5667,143.2,5.05,86,33,9.6,RU,scattered clouds
117,Matagami,49.7502,-77.6328,28.51,86,100,10.36,CA,overcast clouds
118,Souillac,-20.5167,57.5167,75.58,94,75,11.5,MU,light intensity shower rain
119,Bonavista,48.6499,-53.1147,33.4,98,100,18.32,CA,snow
120,Kholm,59.2667,32.85,35.56,98,100,5.97,RU,overcast clouds
121,Marawi,7.9986,124.2928,73.87,80,100,1.77,PH,overcast clouds
122,Toyooka,35.5333,134.8333,73.45,46,0,5.75,JP,clear sky
123,Deputatskiy,69.3,139.9,-2.29,79,9,2.68,RU,clear sky
124,Mao,39.8885,4.2658,46.96,87,40,5.75,ES,scattered clouds
125,Faanui,-16.4833,-151.75,82.33,73,23,15.68,PF,light rain
126,Cabo San Lucas,22.8909,-109.9124,78.1,69,0,16.11,MX,clear sky
127,Broome,42.2506,-75.833,43.7,77,100,4.61,US,overcast clouds
128,Redlands,34.0556,-117.1825,84.07,33,0,12.66,US,clear sky
129,Porto Novo,6.4965,2.6036,76.82,83,100,4.16,BJ,overcast clouds
130,Mwinilunga,-11.7358,24.4293,62.2,97,100,1.07,ZM,moderate rain
131,Diego De Almagro,-26.3667,-70.05,60.48,51,0,0.98,CL,clear sky
132,Vila Velha,-20.3297,-40.2925,80.55,86,20,9.22,BR,few clouds
133,Cockburn Town,21.4612,-71.1419,78.75,77,98,13.67,TC,overcast clouds
