City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Discription
304,Vitry-Le-Francois,48.7333,4.5833,38.26,97,100,11.95,FR,overcast clouds
305,Cap Malheureux,-19.9842,57.6142,76.46,90,62,5.99,MU,broken clouds
306,Tigil,57.8,158.6667,26.4,95,100,11.14,RU,snow
307,Vangaindrano,-23.35,47.6,73.44,84,79,3.4,MG,broken clouds
308,Ust-Nera,64.5667,143.2,19.56,92,100,4.59,RU,light snow
309,Hawalli,29.2833,47.9972,83.91,25,100,6.91,KW,overcast clouds
310,Huarmey,-10.0681,-78.1522,70.07,82,81,7.49,PE,broken clouds
311,Bandarbeyla,9.4942,50.8122,79.56,83,46,5.53,SO,scattered clouds
312,North Bend,43.4065,-124.2243,56.25,80,40,8.05,US,scattered clouds
313,Luderitz,-26.6481,15.1594,62.02,66,0,10.47,NA,clear sky
314,Pringsewu,-5.3582,104.9744,72.34,92,100,4.21,ID,overcast clouds
315,Punta Cardon,11.6581,-70.215,78.85,78,74,32.06,VE,broken clouds
316,Korla,41.7597,86.1469,67.82,21,99,8.59,CN,overcast clouds
317,Atlantic City,39.3643,-74.4229,55.58,63,0,11.5,US,clear sky
318,La Macarena,2.1837,-73.7849,75.49,93,80,2.98,CO,broken clouds
319,Yakeshi,49.2833,120.7333,34.3,50,28,6.31,CN,scattered clouds
320,Leon,21.1167,-101.6667,78.85,45,99,5.61,MX,overcast clouds
321,Coquimbo,-29.9533,-71.3436,56.93,100,100,6.91,CL,overcast clouds
322,Kalemie,-5.9475,29.1947,70.32,88,79,2.35,CD,broken clouds
323,Klaksvik,62.2266,-6.589,34.72,64,100,23.15,FO,overcast clouds
324,Esso,55.9333,158.7,25.74,92,100,0.85,RU,light snow
325,Marawi,7.9986,124.2928,68.95,99,100,2.53,PH,overcast clouds
326,Mongoumba,3.6415,18.5936,70.52,80,86,2.86,CF,overcast clouds
327,Puerto Escondido,15.85,-97.0667,85.03,70,40,6.91,MX,scattered clouds
328,Jardim,-21.4803,-56.1381,75.27,79,98,6.22,BR,overcast clouds
329,Saint Anthony,45.0205,-93.218,46.65,30,0,23.02,US,clear sky
330,Ingolstadt,48.7667,11.4333,54.28,74,75,18.41,DE,moderate rain
331,Carutapera,-1.195,-46.02,75.22,94,100,2.48,BR,overcast clouds
332,San Clemente,33.427,-117.612,101.26,33,25,8.46,US,scattered clouds
333,Mahajanga,-15.7167,46.3167,77.4,86,75,6.26,MG,light rain
334,Piney Green,34.716,-77.3202,66.13,32,40,9.22,US,scattered clouds
335,Smolenka,52.1352,113.4974,24.87,58,85,4.47,RU,overcast clouds
336,Mitu,1.1983,-70.1733,78.64,80,71,2.3,CO,broken clouds
337,Fairbanks,64.8378,-147.7164,16.25,51,100,13.8,US,overcast clouds
338,Nuevo Progreso,23.1667,-97.95,76.53,40,72,8.01,MX,broken clouds
339,Gananoque,44.3334,-76.1661,49.37,61,72,8.66,CA,broken clouds
340,Salalah,17.0151,54.0924,80.69,83,0,3.44,OM,clear sky
341,Griffith,41.5284,-87.4237,38.14,87,100,8.05,US,light rain
342,San Quintin,30.4833,-115.95,78.75,31,64,8.08,MX,broken clouds
343,Awbari,26.5921,12.7805,74.8,21,44,16.49,LY,scattered clouds
344,Stuttgart,48.7823,9.177,37.58,94,75,23.02,DE,snow
345,Teguldet,57.3064,88.1667,32.13,98,100,11.07,RU,snow
346,Pemberton,50.3164,-122.8027,46.4,85,97,8.39,CA,overcast clouds
347,Kailua,21.4022,-157.7394,80.58,76,84,5.01,US,broken clouds
348,Henties Bay,-22.116,14.2845,61.09,83,0,9.19,NA,clear sky
349,Broome,42.2506,-75.833,50.38,64,40,4.61,US,scattered clouds
350,Kendrapara,20.5042,86.416,77.92,87,1,11.61,IN,clear sky
351,Pervomayskiy,53.2485,40.2871,47.17,83,100,13.11,RU,overcast clouds
352,Myitkyina,25.3833,97.4,65.84,80,37,3.47,MM,scattered clouds
